nome,dieta,habitat,populacao,tipo,velocidade,unidadeMedida,tamanho,especie,alimento
tuojiangosaurus,herbivorous,China,12,armoured dinosaur,200000,c,7.0,multispinus,Bambusa vulgaris
tylocephale,herbivorous,Mongolia,55,euornithopod,1,k,1.4,gilmorei,Cycadophyta cycas
tyrannosaurus,carnivorous,USA,13,large theropod,48,k,12.0,rex,achelousaurus
udanoceratops,herbivorous,Mongolia,23,ceratopsian,120,h,1.9,tschizhovi,Cycadophyta cycas
unenlagia,carnivorous,Argentina,89,small theropod,69,k,2.4,comahuensis,alvarezsaurus
urbacodon,carnivorous,Uzbekistan,99,small theropod,3700000,c,1.0,itemirensis,urbacodon
utahraptor,carnivorous,USA,30,large theropod,320,h,6.0,ostrommaysorum,achelousaurus
valdosaurus,herbivorous,United Kingdom,17,euornithopod,90,h,3.0,canaliculatus,Picea abies
velociraptor,carnivorous,Mongolia,62,small theropod,9900000,c,1.8,mongoliensis,avimimus
vulcanodon,herbivorous,South Africa,84,sauropod,1900000,c,6.5,karibaensis,Equisetum arvense
yandusaurus,herbivorous,China,89,euornithopod,480,h,3.0,hongheensis,Bambusa vulgaris
yangchuanosaurus,carnivorous,China,86,large theropod,80,k,10.0,shangyouensis,agilisaurus
yimenosaurus,herbivorous,China,13,sauropod,30,h,9.0,youngi,Bambusa vulgaris
yingshanosaurus,herbivorous,China,59,armoured dinosaur,2000000,c,2.0,jichuanensis,Bambusa vulgaris
yinlong,herbivorous,China,19,ceratopsian,240,h,1.2,downsi,Bambusa vulgaris
yuanmousaurus,herbivorous,China,49,sauropod,5400000,c,17.0,jiangyiensis,Bambusa vulgaris
yunnanosaurus,omnivorous,China,12,sauropod,330,h,7.0,huangi,agilisaurus
zalmoxes,herbivorous,Russia,61,euornithopod,24,k,3.0,robustus,Equisetum arvense
zephyrosaurus,herbivorous,USA,19,euornithopod,750,h,1.8,schaffi,Araucaria araucana
zuniceratops,herbivorous,USA,76,ceratopsian,720,h,1.2,christopheri,Araucaria araucana
Araucaria mirabilis,photosynthesis,Japan,9,Plant,3600000,c,5.0,mirabilis,Sunlight
Metasequoia glyptostroboides,photosynthesis,Argentina,71,Plant,3800000,c,9.0,glyptostroboides,Sunlight
Cycadophyta cycas,photosynthesis,Mongolia,28,Plant,8400000,c,15.0,cycas,Sunlight
Ginkgo biloba,photosynthesis,Madagascar,78,Plant,990,h,6.0,biloba,Sunlight
Magnolia grandiflora,photosynthesis,Niger,95,Plant,89,k,20.0,grandiflora,Sunlight
Welwitschia mirabilis,photosynthesis,Kazakhstan,52,Plant,9900000,c,10.0,mirabilis,Sunlight
Sequoia sempervirens,photosynthesis,Spain,83,Plant,2500000,c,4.0,sempervirens,Sunlight
Equisetum arvense,photosynthesis,South Africa,16,Plant,930,h,1.5,arvense,Sunlight
Araucaria araucana,photosynthesis,USA,69,Plant,1800000,c,8.3,araucana,Sunlight
Dicksonia antarctica,photosynthesis,Australia,99,Plant,82,k,5.7,antarctica,Sunlight
Pinus longaeva,photosynthesis,Germany,12,Plant,66,k,2.0,longaeva,Sunlight
Cyathea australis,photosynthesis,Tanzania,25,Plant,5400000,c,4.0,australis,Sunlight
Araucaria heterophylla,photosynthesis,Australia,52,Plant,3500000,c,7.9,heterophylla,Sunlight
Equisetum arvense,photosynthesis,Russia,85,Plant,800,h,0.7,arvense,Sunlight
Quercus robur,photosynthesis,France,53,Plant,61,k,3.6,robur,Sunlight
Phoenix dactylifera,photosynthesis,Egypt,23,Plant,41,k,25.0,dactylifera,Sunlight
Bambusa vulgaris,photosynthesis,China,16,Plant,10000000,c,2.0,vulgaris,Sunlight
Picea abies,photosynthesis,United Kingdom,57,Plant,330,h,3.8,abies,Sunlight
Thuja plicata,photosynthesis,Canada,39,Plant,68,k,7.3,plicata,Sunlight
Ficus religiosa,photosynthesis,India,53,Plant,33,k,4.2,religiosa,Sunlight
Nothofagus fusca,photosynthesis,Brazil,42,Plant,140,h,7.9,fusca,Sunlight
Jubaea chilensis,photosynthesis,Uruguay,58,Plant,210,h,4.0,chilensis,Sunlight
Carcharodon megalodon,carnivorous,Global Oceans,39,Fish,48,k,18.0,megalodon,Carcharodon megalodon
Xiphactinus audax,carnivorous,Western Interior Seaway,14,Fish,20,k,5.5,audax,Xiphactinus audax
Leedsichthys problematicus,herbivorous,France,95,Fish,80,h,16.0,problematicus,Quercus robur
Pachycormus,omnivorous,Germany,5,Fish,7,k,3.0,pachycormus,archaeopteryx
Hyneria lindae,carnivorous,Euramerica,35,Fish,6700000,c,4.0,lindae,Hyneria lindae
Dunkleosteus terrelli,carnivorous,Worldwide,87,Fish,1700000,c,6.0,terrelli,Dunkleosteus terrelli
Titanichthys,filter-feeder,Worldwide,93,Fish,330,h,6.0,agassizi,Dunkleosteus terrelli
Coelacanth,carnivorous,Oceans,75,Fish,480,h,2.0,latimeria,Coelacanth
Cladoselache,carnivorous,USA,18,Fish,760,h,2.0,cladoselache,anchisaurus
Stethacanthus,carnivorous,Oceans,76,Fish,5900000,c,2.0,altonensis,Coelacanth
Onychodus,carnivorous,Oceans,9,Fish,86,k,2.0,sigmoides,Coelacanth
Holophagus,carnivorous,France,74,Fish,2200000,c,1.5,penicillatus,Holophagus
Cretoxyrhina mantelli,carnivorous,Western Interior Seaway,58,Fish,30,k,7.0,mantelli,Xiphactinus audax
Mawsonia,carnivorous,Brazil,17,Fish,3800000,c,3.0,gigantea,guaibasaurus
Enchodus,carnivorous,Oceans,7,Fish,51,k,1.5,petrosus,Enchodus
Protosphyrna,carnivorous,Oceans,46,Fish,5400000,c,2.0,palustris,Coelacanth
Gillicus arcuatus,carnivorous,Western Interior Seaway,13,Fish,80,h,1.8,arcuatus,Gillicus arcuatus
Squalicorax,carnivorous,Oceans,40,Fish,2700000,c,5.0,pristodontus,Coelacanth
Macropoma,carnivorous,Oceans,42,Fish,27,k,1.5,lewigii,Enchodus
Aipichthys,omnivorous,Germany,9,Fish,9800000,c,0.3,velifer,Aipichthys
